Time (ms),Voltage (V)
-2.60334089,-0.04345836
-2.60078089,-0.04345836
-2.59822089,-0.04345836
-2.59566089,-0.04345836
-2.59310089,-0.03454695
-2.59054089,-0.04345836
-2.58798089,-0.03454695
-2.58542089,-0.03454695
-2.58286089,-0.03454695
-2.58030089,-0.03454695
-2.57774089,-0.03454695
-2.57518089,-0.04345836
-2.57262089,-0.03454695
-2.57006089,-0.03454695
-2.56750089,-0.03454695
-2.56494089,-0.04345836
-2.56238089,-0.04345836
-2.55982089,-0.04345836
-2.55726089,-0.04345836
-2.55470089,-0.04345836
-2.55214089,-0.04345836
-2.54958089,-0.04345836
-2.54702089,-0.04345836
-2.54446089,-0.04345836
-2.54190089,-0.04345836
-2.53934089,-0.04345836
-2.53678089,-0.04345836
-2.53422089,-0.04345836
-2.53166089,-0.04345836
-2.52910089,-0.04345836
-2.52654089,-0.04345836
-2.52398089,-0.04345836
-2.52142089,-0.04345836
-2.51886089,-0.04345836
-2.51630089,-0.04345836
-2.51374089,-0.04345836
-2.51118089,-0.04345836
-2.50862089,-0.04345836
-2.50606089,-0.05236976
-2.50350089,-0.05236976
-2.50094089,-0.06131168
-2.49838089,-0.06131168
-2.49582089,-0.06131168
-2.49326089,-0.04345836
-2.49070089,-0.04345836
-2.48814089,-0.04345836
-2.48558089,-0.05236976
-2.48302089,-0.05236976
-2.48046089,-0.05236976
-2.47790089,-0.04345836
-2.47534089,-0.05236976
-2.47278089,-0.05236976
-2.47022089,-0.04345836
-2.46766089,-0.05236976
-2.46510089,-0.05236976
-2.46254089,-0.06131168
-2.45998089,-0.05236976
-2.45742089,-0.06131168
-2.45486089,-0.05236976
-2.45230089,-0.06131168
-2.44974089,-0.05236976
-2.44718089,-0.04345836
-2.44462089,-0.04345836
-2.44206089,-0.05236976
-2.43950089,-0.04345836
-2.43694089,-0.04345836
-2.4343809,-0.04345836
-2.4318209,-0.04345836
-2.4292609,-0.04345836
-2.4267009,-0.04345836
-2.4241409,-0.04345836
-2.4215809,-0.04345836
-2.4190209,-0.04345836
-2.4164609,-0.03454695
-2.4139009,-0.04345836
-2.4113409,-0.03454695
-2.4087809,-0.03454695
-2.4062209,-0.03454695
-2.4036609,-0.03454695
-2.4011009,-0.03454695
-2.3985409,-0.03454695
-2.3959809,-0.03454695
-2.3934209,-0.03454695
-2.3908609,-0.04345836
-2.3883009,-0.04345836
-2.3857409,-0.04345836
-2.3831809,-0.04345836
-2.3806209,-0.04345836
-2.3780609,-0.04345836
-2.3755009,-0.04345836
-2.3729409,-0.04345836
-2.3703809,-0.04345836
-2.3678209,-0.04345836
-2.3652609,-0.04345836
-2.3627009,-0.04345836
-2.3601409,-0.04345836
-2.3575809,-0.04345836
-2.3550209,-0.04345836
-2.3524609,-0.04345836
-2.3499009,-0.04345836
-2.3473409,-0.04345836
-2.3447809,-0.04345836
-2.3422209,-0.04345836
-2.3396609,-0.04345836
-2.3371009,-0.04345836
-2.3345409,-0.04345836
-2.3319809,-0.04345836
-2.3294209,-0.04345836
-2.3268609,-0.04345836
-2.3243009,-0.04345836
-2.3217409,-0.04345836
-2.3191809,-0.04345836
