Time (ms),Channel A Voltage (V),Channel B Voltage (V)
-1.17517903,-0.00344859,-0.00372326
-1.17005903,-0.00344859,0.00521867
-1.16493903,0.00537126,0.00521867
-1.15981903,0.00537126,0.00521867
-1.15469903,0.00537126,-0.00372326
-1.14957903,-0.00344859,-0.00372326
-1.14445903,0.00537126,0.00521867
-1.13933903,0.00537126,0.00521867
-1.13421903,-0.00344859,0.00521867
-1.12909903,-0.00344859,-0.00372326
-1.12397903,-0.00344859,0.00521867
-1.11885903,-0.00344859,0.00521867
-1.11373903,-0.00344859,0.00521867
-1.10861903,0.00537126,0.00521867
-1.10349903,0.00537126,0.00521867
-1.09837903,0.00537126,0.00521867
-1.09325903,-0.00344859,0.00521867
-1.08813903,-0.00344859,0.00521867
-1.08301903,-0.00344859,-0.00372326
-1.07789903,-0.00344859,-0.00372326
-1.07277903,-0.00344859,0.00521867
-1.06765903,-0.00344859,0.00521867
-1.06253903,0.00537126,-0.00372326
-1.05741903,0.00537126,-0.00372326
-1.05229903,0.00537126,0.00521867
-1.04717903,-0.00344859,0.00521867
-1.04205903,-0.00344859,0.00521867
-1.03693903,0.00537126,0.00521867
-1.03181903,-0.00344859,-0.00372326
-1.02669903,-0.00344859,0.00521867
-1.02157903,0.00537126,0.00521867
-1.01645903,-0.00344859,0.00521867
-1.01133903,0.00537126,-0.00372326
-1.00621903,0.00537126,-0.00372326
-1.00109903,-0.00344859,0.00521867
-0.99597903,-0.00344859,0.00521867
-0.99085903,0.00537126,-0.00372326
-0.98573903,0.00537126,-0.00372326
-0.98061903,0.00537126,0.00521867
-0.97549903,-0.00344859,0.00521867
-0.97037903,-0.00344859,-0.00372326
-0.96525903,-0.00344859,-0.01263466
-0.96013903,0.00537126,0.00521867
-0.95501903,-0.00344859,0.00521867
-0.94989903,-0.00344859,0.00521867
-0.94477903,0.00537126,-0.00372326
-0.93965903,-0.00344859,0.00521867
-0.93453903,0.00537126,0.00521867
-0.92941903,-0.00344859,0.00521867
-0.92429903,-0.00344859,-0.00372326
-0.91917903,-0.00344859,-0.00372326
-0.91405903,0.00537126,-0.00372326
-0.90893903,-0.00344859,0.00521867
-0.90381903,-0.00344859,0.00521867
-0.89869903,0.00537126,0.00521867
-0.89357903,0.00537126,0.00521867
-0.88845903,0.00537126,0.00521867
-0.88333903,-0.00344859,0.01413007
-0.87821903,-0.00344859,-0.00372326
-0.87309903,-0.00344859,-0.00372326
-0.86797903,0.00537126,0.00521867
-0.86285903,-0.00344859,0.00521867
-0.85773903,-0.00344859,0.00521867
-0.85261903,0.00537126,-0.01263466
-0.84749903,0.00537126,-0.00372326
-0.84237903,-0.00344859,0.00521867
-0.83725903,-0.00344859,-0.00372326
-0.83213903,-0.00344859,-0.00372326
-0.82701903,-0.00344859,-0.00372326
-0.82189903,0.00537126,-0.00372326
-0.81677903,-0.00344859,0.00521867
-0.81165903,-0.00344859,0.00521867
-0.80653903,0.00537126,-0.00372326
-0.80141903,0.00537126,-0.00372326
-0.79629903,-0.00344859,0.00521867
-0.79117903,-0.00344859,0.00521867
-0.78605903,-0.00344859,-0.00372326
-0.78093903,0.00537126,-0.01263466
-0.77581903,0.00537126,-0.00372326
-0.77069903,-0.00344859,0.00521867
-0.76557903,-0.00344859,-0.00372326
-0.76045903,0.00537126,-0.00372326
-0.75533903,0.00537126,0.00521867
-0.75021903,-0.00344859,0.00521867
-0.74509903,-0.00344859,0.00521867
-0.73997903,-0.00344859,-0.00372326
-0.73485903,-0.00344859,0.00521867
-0.72973903,-0.00344859,0.00521867
-0.72461903,-0.00344859,0.01413007
-0.71949903,-0.00344859,0.00521867
-0.71437903,-0.00344859,0.00521867
-0.70925903,-0.00344859,0.00521867
-0.70413903,0.00537126,0.00521867
-0.69901903,-0.00344859,0.00521867
-0.69389903,-0.00344859,0.00521867
-0.68877903,-0.00344859,-0.01263466
-0.68365903,0.00537126,-0.00372326
-0.67853903,-0.00344859,0.01413007
-0.67341903,-0.00344859,0.00521867
-0.66829903,0.00537126,-0.01263466
-0.66317903,0.00537126,0.00521867
-0.65805903,-0.00344859,0.00521867
-0.65293903,-0.00344859,0.00521867
-0.64781903,-0.00344859,-0.00372326
-0.64269903,-0.00344859,-0.00372326
-0.63757903,-0.00344859,0.00521867
-0.63245903,-0.00344859,0.00521867
-0.62733903,0.00537126,-0.00372326
-0.62221903,0.00537126,-0.00372326
-0.61709903,-0.00344859,0.00521867
-0.61197903,0.00537126,0.00521867
-0.60685903,-0.00344859,0.00521867
-0.60173903,-0.00344859,0.00521867
-0.59661903,0.00537126,-0.00372326
-0.59149903,0.00537126,-0.00372326
-0.58637903,-0.00344859,0.00521867
-0.58125903,-0.00344859,0.00521867
-0.57613903,0.00537126,-0.00372326
-0.57101903,0.00537126,0.00521867
-0.56589903,-0.00344859,0.00521867
-0.56077903,-0.00344859,0.00521867
-0.55565903,-0.04757836,-0.00372326
-0.55053903,-0.6122318,0.04983672
-0.54541903,-0.5681021,0.2373119
