ID,Axon,Temp (deg C),L-G1 (mm),L-G1 (ms),L-G2 (mm),L-G2 (ms),G1-G2 (mm),G1-G2 (ms)
Worm 1,LGF,14.7,70,9.576,80,11.41,15,4.042
Worm 1,LGF,18.2,70,10.11,80,12.05,15,1.883
Worm 1,LGF,21.6,70,9.347,80,10.46,15,1.28
Worm 1,MGF,14.1,70,4.465,80,5.488,15,1.55
Worm 1,MGF,18,70,4.519,80,5.488,15,1.184
Worm 1,MGF,21.6,70,3.672,80,4.451,15,0.8345
Worm 2,LGF,15.7,95,11.24,115,12.99,16,3.164
Worm 2,LGF,18.2,95,12.46,115,14.16,16,1.644
Worm 2,LGF,21.9,95,6.557,115,7.213,16,0.7425
Worm 2,MGF,15.7,95,4.773,115,5.887,16,1.471
Worm 2,MGF,18.2,95,5.357,115,6.63,16,1.158
Worm 2,MGF,21.9,95,3.607,115,4.296,16,0.6365
Worm 3,LGF,13.1,100,15.75,105,17.14,10,5.663
Worm 3,LGF,17.6,100,15.43,105,16.91,10,1.655
Worm 3,LGF,22.8,100,8.809,105,9.518,10,0.6503
Worm 3,MGF,12.8,100,6.976,105,8.1,10,2.02
Worm 3,MGF,17.3,100,6.976,105,7.745,10,0.9232
Worm 3,MGF,22.8,100,5.262,105,5.971,10,0.7094
